question,response
What is fever?,Fever is an increase in body temperature usually caused by infections inflammation or other medical conditions
What causes fever?,Fever can be caused by viral infections bacterial infections flu COVID-19 typhoid malaria or other illnesses
Can fever indicate typhoid?,Yes prolonged high fever along with weakness headache and abdominal pain may indicate typhoid and requires medical evaluation
What are fever symptoms?,Common symptoms include elevated body temperature chills sweating headache fatigue and muscle aches
What is diabetes?,Diabetes is a chronic condition where blood sugar levels become elevated due to insufficient insulin production or insulin resistance
What are diabetes symptoms?,Common symptoms include excessive thirst frequent urination increased hunger fatigue blurred vision and slow wound healing
How to manage diabetes?,Monitor blood glucose levels follow a healthy diet exercise regularly and take prescribed medications
What is hypertension?,Hypertension also called high blood pressure occurs when blood pressure remains consistently elevated
What are hypertension symptoms?,Hypertension may not show symptoms but severe cases can cause headaches dizziness chest pain and vision problems
How to reduce blood pressure?,Reduce salt intake maintain a healthy weight exercise regularly manage stress and take medications if prescribed
What is asthma?,Asthma is a chronic respiratory condition that causes airway inflammation and breathing difficulties
What causes asthma?,Asthma may be triggered by allergens dust smoke pollution respiratory infections exercise or cold air
What are asthma symptoms?,Common symptoms include wheezing coughing chest tightness and shortness of breath
What is migraine?,Migraine is a neurological condition that causes severe recurring headaches often accompanied by nausea
What are migraine symptoms?,Symptoms include severe headache nausea vomiting sensitivity to light and sensitivity to sound
How to manage migraine?,Adequate sleep hydration stress reduction and prescribed medications may help manage migraines
What causes chest pain?,Chest pain may originate from heart conditions lung problems muscle strain acid reflux or anxiety
When is chest pain serious?,Seek immediate medical attention if chest pain is severe sudden or associated with shortness of breath sweating or arm pain
What is flu?,Flu is a contagious viral infection affecting the respiratory system
What are flu symptoms?,Symptoms include fever cough sore throat runny nose fatigue body aches and chills
What is COVID-19?,COVID-19 is a respiratory illness caused by the SARS-CoV-2 virus
What are COVID-19 symptoms?,Symptoms may include fever cough fatigue sore throat loss of taste loss of smell and breathing difficulties
What is pneumonia?,Pneumonia is an infection that inflames the air sacs in one or both lungs
What are pneumonia symptoms?,Symptoms include cough fever chills chest pain breathing difficulty and fatigue
What is dengue?,Dengue is a mosquito-borne viral disease common in tropical regions
What are dengue symptoms?,Symptoms include high fever severe headache joint pain muscle pain rash and nausea
What is malaria?,Malaria is a mosquito-borne disease caused by parasites transmitted through infected mosquito bites
What are malaria symptoms?,Symptoms include fever chills sweating headache nausea and muscle pain
What is typhoid?,Typhoid is a bacterial infection caused by Salmonella Typhi and spread through contaminated food or water
What are typhoid symptoms?,Symptoms include prolonged fever weakness abdominal pain headache constipation or diarrhea and loss of appetite
How is typhoid diagnosed?,Typhoid is commonly diagnosed through blood tests stool tests or culture tests prescribed by healthcare providers
What causes cough?,Cough may be caused by infections allergies asthma smoking pollution or respiratory conditions
What are cough symptoms?,Persistent coughing throat irritation mucus production and chest discomfort are common symptoms
What causes sore throat?,Sore throat may result from viral infections bacterial infections allergies dry air or irritation
What are sore throat symptoms?,Symptoms include throat pain difficulty swallowing redness and swollen glands
What causes fatigue?,Fatigue may be caused by poor sleep infections anemia stress depression or chronic illnesses
How to improve immunity?,Healthy diet adequate sleep hydration regular exercise stress management and vaccinations help support immunity
How to manage stress?,Practice meditation exercise maintain healthy sleep habits and seek social or professional support when needed
What is dehydration?,Dehydration occurs when the body loses more fluids than it takes in
What are dehydration symptoms?,Symptoms include excessive thirst dry mouth dizziness fatigue and reduced urinat
